,number_single,number_female,number_union,mean_attractiveness,corr_results,Model Params,Run
0,100,50,0,,,"(100, 'attractiveness', 5, 1, 5, 1)",1
1,100,50,0,,,"(100, 'attractiveness', 5, 1, 5, 1)",1
2,100,50,0,,,"(100, 'attractiveness', 5, 1, 5, 1)",1
3,100,50,0,,,"(100, 'attractiveness', 5, 1, 5, 1)",1
4,98,50,2,0.61,,"(100, 'attractiveness', 5, 1, 5, 1)",1
5,98,50,2,0.61,,"(100, 'attractiveness', 5, 1, 5, 1)",1
6,98,50,2,0.61,,"(100, 'attractiveness', 5, 1, 5, 1)",1
7,96,50,4,0.637,-1.0,"(100, 'attractiveness', 5, 1, 5, 1)",1
8,96,50,4,0.637,-1.0,"(100, 'attractiveness', 5, 1, 5, 1)",1
9,96,50,4,0.637,-1.0,"(100, 'attractiveness', 5, 1, 5, 1)",1
10,96,50,4,0.637,-1.0,"(100, 'attractiveness', 5, 1, 5, 1)",1
11,94,50,6,0.622,-0.9999785166412382,"(100, 'attractiveness', 5, 1, 5, 1)",1
12,92,50,8,0.6,-0.8582953971596531,"(100, 'attractiveness', 5, 1, 5, 1)",1
13,92,50,8,0.6,-0.8582953971596531,"(100, 'attractiveness', 5, 1, 5, 1)",1
14,88,50,12,0.5780000000000001,-0.0442310718408256,"(100, 'attractiveness', 5, 1, 5, 1)",1
15,84,50,16,0.5509999999999999,0.07569405449034322,"(100, 'attractiveness', 5, 1, 5, 1)",1
16,82,50,18,0.5469999999999999,0.06859419481520143,"(100, 'attractiveness', 5, 1, 5, 1)",1
17,78,50,22,0.558,0.0769806741305446,"(100, 'attractiveness', 5, 1, 5, 1)",1
18,78,50,22,0.558,0.0769806741305446,"(100, 'attractiveness', 5, 1, 5, 1)",1
19,78,50,22,0.558,0.0769806741305446,"(100, 'attractiveness', 5, 1, 5, 1)",1
20,76,50,24,0.561,0.08469709451747405,"(100, 'attractiveness', 5, 1, 5, 1)",1
21,76,50,24,0.561,0.08469709451747405,"(100, 'attractiveness', 5, 1, 5, 1)",1
22,76,50,24,0.561,0.08469709451747405,"(100, 'attractiveness', 5, 1, 5, 1)",1
23,76,50,24,0.561,0.08469709451747405,"(100, 'attractiveness', 5, 1, 5, 1)",1
24,74,50,26,0.55,0.19365344473522939,"(100, 'attractiveness', 5, 1, 5, 1)",1
25,74,50,26,0.55,0.19365344473522939,"(100, 'attractiveness', 5, 1, 5, 1)",1
26,74,50,26,0.55,0.19365344473522939,"(100, 'attractiveness', 5, 1, 5, 1)",1
27,70,50,30,0.55,0.11160361586339147,"(100, 'attractiveness', 5, 1, 5, 1)",1
28,70,50,30,0.55,0.11160361586339147,"(100, 'attractiveness', 5, 1, 5, 1)",1
29,64,50,36,0.554,0.021481818125146025,"(100, 'attractiveness', 5, 1, 5, 1)",1
30,58,50,42,0.541,0.15460806798492524,"(100, 'attractiveness', 5, 1, 5, 1)",1
31,56,50,44,0.544,0.17799440051028984,"(100, 'attractiveness', 5, 1, 5, 1)",1
32,52,50,48,0.534,0.24024761714641998,"(100, 'attractiveness', 5, 1, 5, 1)",1
33,46,50,54,0.524,0.3717602678941226,"(100, 'attractiveness', 5, 1, 5, 1)",1
34,46,50,54,0.524,0.3717602678941226,"(100, 'attractiveness', 5, 1, 5, 1)",1
35,46,50,54,0.524,0.3717602678941226,"(100, 'attractiveness', 5, 1, 5, 1)",1
36,42,50,58,0.524,0.41449727863623936,"(100, 'attractiveness', 5, 1, 5, 1)",1
37,38,50,62,0.5269999999999999,0.35887359575054173,"(100, 'attractiveness', 5, 1, 5, 1)",1
38,38,50,62,0.5269999999999999,0.35887359575054173,"(100, 'attractiveness', 5, 1, 5, 1)",1
39,38,50,62,0.5269999999999999,0.35887359575054173,"(100, 'attractiveness', 5, 1, 5, 1)",1
40,36,50,64,0.5269999999999999,0.3532707297346811,"(100, 'attractiveness', 5, 1, 5, 1)",1
41,34,50,66,0.526,0.3166694934401408,"(100, 'attractiveness', 5, 1, 5, 1)",1
42,32,50,68,0.525,0.3101290182526547,"(100, 'attractiveness', 5, 1, 5, 1)",1
43,26,50,74,0.522,0.33268752886748015,"(100, 'attractiveness', 5, 1, 5, 1)",1
44,24,50,76,0.522,0.33020544174287975,"(100, 'attractiveness', 5, 1, 5, 1)",1
45,24,50,76,0.522,0.33020544174287975,"(100, 'attractiveness', 5, 1, 5, 1)",1
46,24,50,76,0.522,0.33020544174287975,"(100, 'attractiveness', 5, 1, 5, 1)",1
47,24,50,76,0.522,0.33020544174287975,"(100, 'attractiveness', 5, 1, 5, 1)",1
48,24,50,76,0.522,0.33020544174287975,"(100, 'attractiveness', 5, 1, 5, 1)",1
49,24,50,76,0.522,0.33020544174287975,"(100, 'attractiveness', 5, 1, 5, 1)",1
50,22,50,78,0.519,0.3455920761993669,"(100, 'attractiveness', 5, 1, 5, 1)",1
51,22,50,78,0.519,0.3455920761993669,"(100, 'attractiveness', 5, 1, 5, 1)",1
52,100,50,0,,,"(100, 'attractiveness', 5, 1, 5, 1)",2
53,98,50,2,0.502,,"(100, 'attractiveness', 5, 1, 5, 1)",2
54,98,50,2,0.502,,"(100, 'attractiveness', 5, 1, 5, 1)",2
55,98,50,2,0.502,,"(100, 'attractiveness', 5, 1, 5, 1)",2
56,96,50,4,0.501,-0.9999999999999999,"(100, 'attractiveness', 5, 1, 5, 1)",2
57,96,50,4,0.501,-0.9999999999999999,"(100, 'attractiveness', 5, 1, 5, 1)",2
58,96,50,4,0.501,-0.9999999999999999,"(100, 'attractiveness', 5, 1, 5, 1)",2
59,96,50,4,0.501,-0.9999999999999999,"(100, 'attractiveness', 5, 1, 5, 1)",2
60,96,50,4,0.501,-0.9999999999999999,"(100, 'attractiveness', 5, 1, 5, 1)",2
61,92,50,8,0.542,-0.38296225929611194,"(100, 'attractiveness', 5, 1, 5, 1)",2
62,92,50,8,0.542,-0.38296225929611194,"(100, 'attractiveness', 5, 1, 5, 1)",2
63,86,50,14,0.5269999999999999,-0.4031903423156726,"(100, 'attractiveness', 5, 1, 5, 1)",2
64,86,50,14,0.5269999999999999,-0.4031903423156726,"(100, 'attractiveness', 5, 1, 5, 1)",2
65,86,50,14,0.5269999999999999,-0.4031903423156726,"(100, 'attractiveness', 5, 1, 5, 1)",2
66,86,50,14,0.5269999999999999,-0.4031903423156726,"(100, 'attractiveness', 5, 1, 5, 1)",2
67,82,50,18,0.53,-0.2685012949176297,"(100, 'attractiveness', 5, 1, 5, 1)",2
68,82,50,18,0.53,-0.2685012949176297,"(100, 'attractiveness', 5, 1, 5, 1)",2
69,80,50,20,0.526,-0.26070720321492613,"(100, 'attractiveness', 5, 1, 5, 1)",2
70,74,50,26,0.5309999999999999,-0.26660292166662886,"(100, 'attractiveness', 5, 1, 5, 1)",2
71,72,50,28,0.53,-0.263182948258596,"(100, 'attractiveness', 5, 1, 5, 1)",2
72,72,50,28,0.53,-0.263182948258596,"(100, 'attractiveness', 5, 1, 5, 1)",2
73,72,50,28,0.53,-0.263182948258596,"(100, 'attractiveness', 5, 1, 5, 1)",2
74,70,50,30,0.523,-0.28066438570972774,"(100, 'attractiveness', 5, 1, 5, 1)",2
75,70,50,30,0.523,-0.28066438570972774,"(100, 'attractiveness', 5, 1, 5, 1)",2
76,70,50,30,0.523,-0.28066438570972774,"(100, 'attractiveness', 5, 1, 5, 1)",2
77,68,50,32,0.524,-0.2784524250697629,"(100, 'attractiveness', 5, 1, 5, 1)",2
78,68,50,32,0.524,-0.2784524250697629,"(100, 'attractiveness', 5, 1, 5, 1)",2
79,66,50,34,0.519,-0.272194629142613,"(100, 'attractiveness', 5, 1, 5, 1)",2
80,64,50,36,0.524,-0.23943993817723536,"(100, 'attractiveness', 5, 1, 5, 1)",2
81,58,50,42,0.518,-0.20609367709757076,"(100, 'attractiveness', 5, 1, 5, 1)",2
82,56,50,44,0.518,-0.25354034440041595,"(100, 'attractiveness', 5, 1, 5, 1)",2
83,54,50,46,0.514,-0.22453946326357152,"(100, 'attractiveness', 5, 1, 5, 1)",2
84,52,50,48,0.515,-0.2327066885406713,"(100, 'attractiveness', 5, 1, 5, 1)",2
85,50,50,50,0.511,-0.2974865077056847,"(100, 'attractiveness', 5, 1, 5, 1)",2
86,50,50,50,0.511,-0.2974865077056847,"(100, 'attractiveness', 5, 1, 5, 1)",2
87,50,50,50,0.511,-0.2974865077056847,"(100, 'attractiveness', 5, 1, 5, 1)",2
88,50,50,50,0.511,-0.2974865077056847,"(100, 'attractiveness', 5, 1, 5, 1)",2
89,48,50,52,0.509,-0.29924683959945814,"(100, 'attractiveness', 5, 1, 5, 1)",2
90,42,50,58,0.509,-0.2976252182269715,"(100, 'attractiveness', 5, 1, 5, 1)",2
91,36,50,64,0.51,-0.3423436866373405,"(100, 'attractiveness', 5, 1, 5, 1)",2
92,36,50,64,0.51,-0.3423436866373405,"(100, 'attractiveness', 5, 1, 5, 1)",2
93,36,50,64,0.51,-0.3423436866373405,"(100, 'attractiveness', 5, 1, 5, 1)",2
94,34,50,66,0.507,-0.29789578623774976,"(100, 'attractiveness', 5, 1, 5, 1)",2
95,34,50,66,0.507,-0.29789578623774976,"(100, 'attractiveness', 5, 1, 5, 1)",2
96,30,50,70,0.507,-0.30655987084628333,"(100, 'attractiveness', 5, 1, 5, 1)",2
97,30,50,70,0.507,-0.30655987084628333,"(100, 'attractiveness', 5, 1, 5, 1)",2
98,30,50,70,0.507,-0.30655987084628333,"(100, 'attractiveness', 5, 1, 5, 1)",2
99,26,50,74,0.505,-0.29246003868940523,"(100, 'attractiveness', 5, 1, 5, 1)",2
100,24,50,76,0.504,-0.29148172043013665,"(100, 'attractiveness', 5, 1, 5, 1)",2
101,24,50,76,0.504,-0.29148172043013665,"(100, 'attractiveness', 5, 1, 5, 1)",2
102,24,50,76,0.504,-0.29148172043013665,"(100, 'attractiveness', 5, 1, 5, 1)",2
103,24,50,76,0.504,-0.29148172043013665,"(100, 'attractiveness', 5, 1, 5, 1)",2
104,100,50,0,,,"(100, 'attractiveness', 5, 1, 5, 1)",3
105,100,50,0,,,"(100, 'attractiveness', 5, 1, 5, 1)",3
106,100,50,0,,,"(100, 'attractiveness', 5, 1, 5, 1)",3
107,96,50,4,0.49400000000000005,-0.9999999999999999,"(100, 'attractiveness', 5, 1, 5, 1)",3
108,94,50,6,0.49400000000000005,-0.8959739967628039,"(100, 'attractiveness', 5, 1, 5, 1)",3
109,94,50,6,0.49400000000000005,-0.8959739967628039,"(100, 'attractiveness', 5, 1, 5, 1)",3
110,94,50,6,0.49400000000000005,-0.8959739967628039,"(100, 'attractiveness', 5, 1, 5, 1)",3
111,94,50,6,0.49400000000000005,-0.8959739967628039,"(100, 'attractiveness', 5, 1, 5, 1)",3
112,94,50,6,0.49400000000000005,-0.8959739967628039,"(100, 'attractiveness', 5, 1, 5, 1)",3
113,94,50,6,0.49400000000000005,-0.8959739967628039,"(100, 'attractiveness', 5, 1, 5, 1)",3
114,92,50,8,0.532,0.21757354346335947,"(100, 'attractiveness', 5, 1, 5, 1)",3
115,92,50,8,0.532,0.21757354346335947,"(100, 'attractiveness', 5, 1, 5, 1)",3
